checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,0,2,2,1,3,2,97,-1.0268953977501951,0.7599999904632568,1,1,34.0,8.07494362113402,neutral,0,win,0,0,0,0,0,2,0,3,2,1,1,2,1,0,104,20,70,161,159,0,12,97,0.6226730346679688,100.0,0.7699999809265137,0.18346931078692072,0.4639175257731959,0.041237113402061855,1.4948453608247423,0.09278350515463918,0.8717292891335242,0.890072237738629,0.4639175257731959,0.25217432513372184,0.33841851107852977,0.8797147913077443,0.8491207262904373,0.6056701030927835,0.23898551642029556,0.7422680412371134,0.7010309278350515,97.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,1,2,3,1,3,1,174,-2.6035740837833146,0.6399999856948853,1,2,37.0,8.373849452227011,neutral,0,win,0,0,0,0,0,2,0,7,5,0,0,4,0,0,189,24,135,335,333,0,67,174,0.6235333681106567,100.0,0.6256250143051147,0.1237532187831299,0.5977011494252874,0.3103448275862069,1.0919540229885059,0.06896551724137931,1.073768559896826,1.351533051184111,0.05747126436781609,0.26431914244981847,0.39278642888898135,0.8314875467070217,0.8084422935699594,0.5718390804597702,-0.05625388045962135,0.3850574712643678,0.20114942528735633,174.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,2,2,4,1,3,2,119,-3.3323278924799524,0.47999998927116394,1,1,32.0,6.299209210051208,neutral,0,win,0,0,1,0,0,1,0,0,3,0,3,0,4,0,119,0,119,238,237,0,24,119,0.5850644111633301,100.0,0.7287499904632568,0.10268621423727825,0.6470588235294118,0.453781512605042,0.8991596638655462,0.36134453781512604,0.7872164952842629,0.894364197621075,0.6050420168067226,0.18918483934419997,0.27009693414223296,0.8893789418605196,0.8673960676714152,0.5483193277310925,-0.09691201282263746,0.2605042016806723,0.2605042016806723,119.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,0,map_b_split_lane,3,2,5,0,1,3,128,-4.331103729546157,0.5999999642372131,1,-2,38.0,9.220380783081055,neutral,0,loss,0,0,3,0,0,4,0,2,1,0,0,1,1,0,79,5,172,149,145,0,11,128,-0.6016381978988647,-100.0,-0.4815462827682495,0.2105384499882348,0.28125,1.1328125,0.578125,0.046875,1.3157821670174599,0.9287768594513182,0.296875,0.37604173299041577,0.25338579086383106,0.7469711005687714,0.8585104513913393,0.287109375,0.06873433966234709,0.140625,0.140625,128.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,1,map_b_split_lane,0,2,2,1,3,2,97,-2.495367807423463,0.6800000071525574,1,1,34.0,5.983907483287694,neutral,1,win,0,0,2,0,0,0,2,1,1,2,0,3,0,2,9,66,119,194,194,0,18,97,0.6228686571121216,100.0,0.7699999809265137,0.09926260614133987,1.3711340206185567,0.5670103092783505,0.0,0.4020618556701031,0.733110370306471,0.9112973045749763,0.4639175257731959,0.19733579448165045,0.27773104421794415,0.8677644748048684,0.8560527102234438,0.7010309278350515,-0.3641908190556946,0.4020618556701031,0.4020618556701031,97.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,1,map_b_split_lane,1,2,3,1,3,1,94,-0.6716877334692981,0.5199999809265137,0,2,32.0,6.557436679271942,neutral,1,win,1,1,6,0,0,0,0,1,1,3,0,3,0,3,5,70,113,188,188,0,32,94,0.6159282922744751,100.0,0.7756249904632568,0.07039133297834307,1.4574468085106382,0.5425531914893617,0.0,0.5425531914893617,0.7422097818925977,1.1792914838074369,0.1702127659574468,0.19005602348516595,0.29570117513550087,0.862183837814534,0.7970521044223866,0.7287234042553191,-0.35370641089500315,0.4574468085106383,0.4574468085106383,94.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,1,map_b_split_lane,2,2,4,1,3,2,104,-2.716959903569659,0.6399999856948853,0,1,32.0,7.051418597881611,neutral,1,win,1,1,2,0,0,0,1,3,3,1,3,0,2,1,54,16,138,208,208,0,27,104,0.588997483253479,100.0,0.7568749785423279,0.09016254048149747,1.4230769230769231,0.5480769230769231,0.0,0.4519230769230769,0.7528955822344869,0.9945914349876918,0.2980769230769231,0.1955370232104682,0.2714469392174998,0.8564926506235049,0.8493439108133316,0.7115384615384616,-0.3921387278900361,0.4519230769230769,0.4519230769230769,104.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,1,map_b_split_lane,3,2,5,1,3,2,109,-1.767236995830899,0.5999999642372131,1,1,38.0,7.664358156536697,neutral,1,win,0,0,1,0,0,2,1,1,1,2,0,3,0,0,5,32,181,149,147,0,21,109,0.587754487991333,100.0,0.747499942779541,0.14051300882780499,0.47706422018348627,1.4862385321100917,0.0,0.1559633027522936,0.9054643758871687,1.018044667096313,0.3211009174311927,0.2988752762898119,0.20745655586686704,0.8211513216342401,0.8217192888259888,0.24311926605504589,0.08914427607261334,0.4954128440366973,0.4954128440366973,109.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,2,map_b_split_lane,0,2,2,1,3,2,97,-2.495367807423463,0.6800000071525574,1,1,34.0,5.983907483287694,neutral,2,win,0,0,2,0,0,0,2,1,1,2,0,3,0,2,9,66,119,194,194,0,18,97,0.6228686571121216,100.0,0.7699999809265137,0.09926260614133987,1.3711340206185567,0.44329896907216493,0.12371134020618557,0.4020618556701031,0.733110370306471,0.9112973045749763,0.4639175257731959,0.19733579448165045,0.27773104421794415,0.8677644748048684,0.8560527102234438,0.7319587628865979,-0.14262688729597994,0.4020618556701031,0.4020618556701031,97.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10_AGGRESSIVE_INTERCEPTOR,2,map_b_split_lane,1,2,3,1,3,1,94,-0.6716877334692981,0.5199999809265137,0,2,32.0,6.557436679271942,neutral,2,win,1,1,6,0,0,0,0,1,1,3,0,3,0,3,5,70,113,188,188,0,32,94,0.6159282922744751,100.0,0.7756249904632568,0.07039133297834307,1.4574468085106382,0.4574468085106383,0.0851063829787234,0.5425531914893617,0.7422097818925977,1.1792914838074369,0.1702127659574468,0.19005602348516595,0.29570117513550087,0.862183837814534,0.7970521044223866,0.75,-0.01883698427622729,0.4574468085106383,0.4574468085106383,94.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
